

央视,#genre#
iHOT爱奇谈,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000270630.m3u8?cdn=wasusyt
iHOT爱赛车,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT爱体育,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT爱玩具,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000220630.m3u8?cdn=wasusyt
iHOT爱喜剧,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT爱悬疑,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT爱幼教,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT爱院线,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000006000030630.m3u8?cdn=wasusyt


睛彩&求索,#genre#


睛彩青少,http://025365.xyz:18098/itv/3000000020000031315.m3u8?cdn=FifastbLive
睛彩竞技,http://025365.xyz:18098/itv/1000000006000270001.m3u8?cdn=ystenlive
睛彩篮球,http://025365.xyz:18098/itv/1000000006000270002.m3u8?cdn=ystenlive
睛彩综合体育,http://025365.xyz:18098/itv/1000000006000270005.m3u8?cdn=ystenlive
求索动物,http://025365.xyz:18098/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://025365.xyz:18098/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://025365.xyz:18098/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://025365.xyz:18098/itv/6000000002000003382.m3u8?cdn=wasusyt

睛彩青少,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/3000000020000031315.m3u8?cdn=FifastbLive
睛彩竞技,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/1000000006000270001.m3u8?cdn=ystenlive
睛彩篮球,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/1000000006000270002.m3u8?cdn=ystenlive
睛彩综合体育,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/1000000006000270005.m3u8?cdn=ystenlive
求索动物,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/6000000002000003382.m3u8?cdn=wasusyt

地方频道,#genre#
北京纪实科教,http://025365.xyz:18098/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://025365.xyz:18098/itv/7851974109718180595.m3u8?cdn=bestzb
湖南金鹰纪实,http://025365.xyz:18098/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://025365.xyz:18098/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://025365.xyz:18098/itv/5000000011000031209.m3u8?cdn=bestzb
上海纪实人文,http://025365.xyz:18098/itv/5000000004000010282.m3u8?cdn=bestzb
上海ICS外语,http://025365.xyz:18098/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://025365.xyz:18098/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://025365.xyz:18098/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://025365.xyz:18098/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://025365.xyz:18098/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://025365.xyz:18098/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://025365.xyz:18098/itv/5000000011000031123.m3u8?cdn=bestzb
上海五星体育,http://025365.xyz:18098/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://025365.xyz:18098/itv/5000000011000031110.m3u8?cdn=bestzb

北京纪实科教,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/7851974109718180595.m3u8?cdn=bestzb
湖南金鹰纪实,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000011000031209.m3u8?cdn=bestzb
上海纪实人文,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000004000010282.m3u8?cdn=bestzb
上海ICS外语,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://esfcv8kmvrq787151nsdv83fjksjreosj29oe1b86seie4ffb8rvuuvp.qc.dolfincdnx.net:5001/itv/5000000010000018926.m3u8?cdn=bestzb
